phase,fold,seed,model,target,mae,rmse,wape,smape,mape,bias,mase,rmsse
cv,2,42,GRU,orders,1359.8989650472006,1721.0726921248886,0.1908503785663593,0.22555745772066255,0.2695063217701869,1282.0347725423178,0.9477794495404346,0.7589364851089174
cv,2,123,GRU,carts,2929.7277412923177,4391.527376234999,0.12164968739944304,0.15214409298294204,0.16775675584739935,1640.768797607422,0.8140838899237215,0.7762954211484223
cv,2,123,GRU,orders,1509.984524230957,2112.827549339505,0.21191362408958056,0.24852235749961007,0.30867340587726794,1408.1822221883137,1.0523813444776895,0.9316875000539807
cv,2,2026,GRU,carts,3298.278346354167,4821.103318718973,0.13695283835942712,0.1576142538907097,0.17333640490524327,2139.101415201823,0.9164931022111903,0.8522320620061022
cv,2,2026,GRU,orders,1694.3204739379883,2290.7112208755607,0.23778362376544265,0.2601725962245583,0.3211299908064129,1651.7288377888997,1.1808539953394976,1.0101283521176811
cv,2,3407,GRU,carts,3101.6890608723957,4540.627556530043,0.12878995523965017,0.15663417834032847,0.17253263198547802,1819.7367203776041,0.8618668077652324,0.802652034084917
cv,2,3407,GRU,orders,1542.6143368530275,2044.6193266122143,0.21649294376812397,0.24911436820605307,0.3061206382974495,1482.854230448405,1.0751226411772425,0.9016099158537082
cv,2,9999,GRU,carts,2958.5950354003908,4456.598830083709,0.12284833028179014,0.1563261266829939,0.17353130688600285,1616.8291849772136,0.8221052492971035,0.7877981780123752
cv,2,9999,GRU,orders,1445.9910504150391,1854.7894467335034,0.20293267843298876,0.24447385707756708,0.2988677737955328,1345.314322306315,1.0077811933294565,0.8179011785859491
cv,3,,Ridge,carts,2630.0486046449523,4301.189293875945,0.1085904438312871,0.09983424293703166,0.1037821249721862,1476.7404442331379,0.746799759713173,0.7768247914341142
cv,3,,Ridge,orders,2213.2974947624166,2944.437246660277,0.34044314644738743,0.2596246841797105,0.31200702704283495,2209.873129657015,1.5897946685878814,1.3291544896560423
cv,3,,Extra Trees,carts,2056.536134923362,3680.4946587056634,0.08491104356474626,0.08081764159239155,0.08174078954150497,1096.6355957399542,0.583951448155672,0.6647230103762692
cv,3,,Extra Trees,orders,1439.4200543549193,1733.9653012676422,0.22140751233112518,0.19725170397769476,0.22094070409514094,1428.6607379790803,1.033924419869988,0.7827328525006908
cv,3,,Persistence,carts,15845.413333333334,19928.966964781022,0.6542314326503272,0.7688997103623527,1.7205982605302386,457.23,4.4992898036143725,3.599310457681029
cv,3,,Persistence,orders,4162.711666666667,5279.967126633776,0.6402965082221684,0.7886343411402615,2.21132937816838,61.255,2.990043963902659,2.3834408492018735
cv,3,,Seasonal naive 24h,carts,2177.335,5312.648283891315,0.08989863290047972,0.08912067930753818,0.09096719053436833,-136.575,0.6182521691589007,0.9595013409367298
cv,3,,Seasonal naive 24h,orders,705.7566666666667,1122.550695217518,0.10855748980640828,0.08848020140587624,0.09640852145039157,624.2466666666667,0.5069396177613537,0.5067329242989381
cv,3,,Seasonal naive 168h,carts,1747.9983333333332,3714.3497997630757,0.0721720178470395,0.07187069111925388,0.07309048465985296,743.1283333333333,0.49634243755300694,0.6708374850236284
cv,3,,Seasonal naive 168h,orders,1143.92,1364.5205653757416,0.17595453164595903,0.15919652468184106,0.17494436103014765,1138.03,0.821668990090401,0.6159610423874061
cv,3,,Seasonal blend 24h+168h,carts,1611.8583333333333,3976.3631875328824,0.06655101791681685,0.06199344893566393,0.061688305673687674,303.27666666666664,0.45768561611336045,0.7181589306519399
cv,3,,Seasonal blend 24h+168h,orders,884.92,1127.250564426561,0.13611588585228168,0.11750635448368357,0.12724794757577154,881.1383333333333,0.6356312702905776,0.5088545019508581
cv,3,42,Transformer,carts,2786.8026574707033,4186.490034131698,0.11506256458929844,0.10180677535366733,0.1045164409771507,1823.7422473144532,0.7913099215320798,0.7561093049859043
cv,3,42,Transformer,orders,1771.322424367269,2208.1163648141874,0.2724597940183994,0.2102958942270827,0.24095348211489787,1757.8298577372234,1.2723273546701992,0.9967703619103085
cv,3,123,Transformer,carts,3648.6830639648438,5108.116196122842,0.15064820954863312,0.1299924414408597,0.1361654839199887,2627.248885091146,1.0360400300686887,0.9225614190763853
cv,3,123,Transformer,orders,2071.408431142171,2697.949567863266,0.3186181729046712,0.23207155512356878,0.2723248984782637,2043.6220174662271,1.4878768390108832,1.2178869782531263
cv,3,2026,Transformer,carts,2886.292052001953,4410.968544492605,0.1191703204268043,0.10422997093112794,0.10711583553467001,1803.0680399576822,0.8195598389665816,0.7966516899120542
cv,3,2026,Transformer,orders,1722.4638614908854,2189.9201479307435,0.2649445083797108,0.20328023604860343,0.23243307157479687,1699.9245115152994,1.2372326225071928,0.9885563701219569
cv,3,3407,Transformer,carts,2667.6592411295574,4121.301171732195,0.11014332604853108,0.11103673099811118,0.1123874029394988,1283.4905993652344,0.7574792635975335,0.7443357416811173
