lookback,feature_set,transformer_layers,seed,parameter_count,runtime_seconds,target,mae,rmse,wape,smape,mape,bias,mase,rmsse
168,history_only,1,2026,24400,4.3962148970001635,carts,3710.8359375,5249.99462890625,0.15321439504623413,0.15441352128982544,0.15565229952335358,2071.200927734375,1.0536882784468984,0.9481856261944578
168,history_only,1,2026,24400,4.3962148970001635,orders,1714.3817138671875,2199.715576171875,0.26370131969451904,0.21900233626365662,0.24212297797203064,1549.5640869140625,1.2314272776616395,0.9929781326769688
168,history_only,2,42,37104,5.1193665890000375,carts,3709.334228515625,5072.6337890625,0.15315239131450653,0.16490356624126434,0.16649380326271057,2060.103515625,1.0532618696319778,0.9161530211025765
168,history_only,2,42,37104,5.1193665890000375,orders,1797.7420654296875,2239.349609375,0.27652356028556824,0.23901723325252533,0.2660607695579529,1622.5850830078125,1.2913043808523696,1.0108694078103766
168,history_only,2,123,37104,7.644880895999904,carts,4152.154296875,5680.87353515625,0.17143571376800537,0.17444278299808502,0.17690493166446686,2110.97119140625,1.1790002001186857,1.0260053563044471
168,history_only,2,123,37104,7.644880895999904,orders,1849.9716796875,2444.13134765625,0.28455737233161926,0.2446378618478775,0.27204805612564087,1553.0184326171875,1.3288205134490794,1.1033103679167084
168,history_only,2,2026,37104,8.275994755000283,carts,3308.9609375,4765.92822265625,0.1366216242313385,0.1304554045200348,0.1303994208574295,1855.65869140625,0.9395762605531278,0.8607599252153699
168,history_only,2,2026,37104,8.275994755000283,orders,1639.9139404296875,2118.218017578125,0.2522468864917755,0.19778180122375488,0.2178192138671875,1499.529052734375,1.1779376453493524,0.9561892094116589
168,full,1,42,24560,6.4231295869999485,carts,3317.985595703125,4705.92138671875,0.13699424266815186,0.13312891125679016,0.13716337084770203,1952.28955078125,0.9421388035288296,0.8499222672983214
168,full,1,42,24560,6.4231295869999485,orders,1915.7042236328125,2523.16064453125,0.29466816782951355,0.2324105054140091,0.2710580825805664,1844.1654052734375,1.3760356972028538,1.1389851375602529
168,full,1,123,24560,5.160167094999906,carts,3459.9208984375,5096.60693359375,0.14285452663898468,0.1261836439371109,0.13183607161045074,2189.610595703125,0.9824411955795487,0.9204827618017182
168,full,1,123,24560,5.160167094999906,orders,1970.9666748046875,2750.090576171875,0.30316847562789917,0.22164449095726013,0.2617092430591583,1918.0531005859375,1.4157302933671962,1.2414240438020339
168,full,1,2026,24560,3.221569479000209,carts,3078.41943359375,4745.703125,0.12710294127464294,0.11223387718200684,0.11542116850614548,1914.2149658203125,0.8741142233052104,0.85710704932621
168,full,1,2026,24560,3.221569479000209,orders,1860.504638671875,2454.355712890625,0.28617751598358154,0.2153683453798294,0.24952392280101776,1826.987060546875,1.3363862573571803,1.107925731031794
168,full,2,42,37264,8.493869399999767,carts,2786.8037109375,4186.49072265625,0.11506260931491852,0.10180678963661194,0.10451646149158478,1823.7437744140625,0.7913102206629588,0.7561094601645131
168,full,2,42,37264,8.493869399999767,orders,1771.3221435546875,2208.1162109375,0.2724597156047821,0.21029585599899292,0.24095341563224792,1757.82958984375,1.2723271529646691,0.9967702719024789
168,full,2,123,37264,8.659328413999901,carts,3648.68505859375,5108.11865234375,0.150648295879364,0.12999248504638672,0.13616551458835602,2627.250732421875,1.0360405964416393,0.9225618597449348
168,full,2,123,37264,8.659328413999901,orders,2071.408447265625,2697.949462890625,0.31861814856529236,0.23207156360149384,0.27232488989830017,2043.6220703125,1.4878768505922368,1.2178869472381628
168,full,2,2026,37264,6.454101025,carts,2886.29248046875,4410.96875,0.11917033791542053,0.10422998666763306,0.10711584985256195,1803.068359375,0.8195599606293146,0.7966517410829633
168,full,2,2026,37264,6.454101025,orders,1722.46337890625,2189.919677734375,0.2649444341659546,0.20328018069267273,0.232433021068573,1699.9241943359375,1.237232275870339,0.9885561377791919
